Accountant,None
Accountant Accounts Payable,None
Administrative Assistant,None
Administrative Assistant Behavior,None
Administrative Asst,None
Administrative Intern,None
ASE Lab Assistant,None
Assignment,None
Assistant Local Education Agency Administrator Curriculum and Instruction,Administration
Associate Supt for Teaching and Learning K-12 Quads I & II,Administration
Associate Supt for Teaching and Learning K-12 Quads III & IV,Administration
Athletic Coordinator/Head Coach,None
Athletic Trainer,None
Attendance Officer,Staff
Auditor,None
Campus Administrator Mentor,Staff
Campus Security Manager,None
Campus Security Officer 4A,None
Central  Office Transportation Router,None
Chief Academic Officer,Administration
Chief Administrative Officer,Administration
Chief of Police,None
Clerk Campus,Staff
Clerk Campus 1A,Staff
Clerk Campus 2A,Staff
Clerk Campus 3A,Staff
Clerk Campus 3D,Staff
Clerk Campus 4A,Staff
Clerk Central Office 1A,Staff
Clerk Central Office 2A,Staff
Clerk Central Office 3A,Staff
Clerk Central Office 3F,Staff
Clerk Central Office 4A,Staff
Clerk Central Office 4B,Staff
Clerk Central Office 4F,Staff
Clerk Central Office 4G,Staff
Clerk Cooperative Buyer 4A,Staff
Clerk Registrar 3A,Staff
Clerk Senior Buyer,Staff
Coach,Specialist
College Advisor,Administration
Communities in Schools,None
Computer Operator,None
Controller,None
Coordinator Advance Technology Center,None
Coordinator Advanced Academics,Administration
Coordinator Applications,None
Coordinator Assessment Accountability,Administration
Coordinator College Access,Administration
Coordinator Communications,None
Coordinator Compliance,None
Coordinator Compliance/ECI DEBT Region,Administration
Coordinator CSCOPE,Administration
Coordinator Data Management,None
Coordinator Data Processing,None
Coordinator Early Childhood,Staff
Coordinator English Language Arts K-12 Accountability,Administration
Coordinator Facilities,None
Coordinator Gifted & Talented,Administration
Coordinator Health Services,Administration
Coordinator Homebound,Staff
Coordinator LISD TV/Distance Learning,Staff
Coordinator Math K-12 Accountability,Administration
Coordinator Payroll,None
Coordinator PEIMS Drop Out Recovery,Administration
Coordinator Physical Education K-12,Administration
Coordinator Professional Development,Administration
Coordinator Project,None
Coordinator Purchasing,None
Coordinator Regional Deaf,Administration
Coordinator Science K-12 Accountability,Administration
Coordinator Social Studies K-12 Accountability,Administration
Coordinator Special Education,Administration
Coordinator Special Services,Administration
Coordinator Technical Support,None
Counselor Elementary School,Administration
Counselor High School,Administration
Counselor Middle School,Administration
Counselor Special Education,Administration
Deaf Education Interpreter,None
Debt Early Intervention Specialist,Staff
Demonstration Teacher Early Childhood,Staff
Demonstration Teacher English Language Arts Reading,Staff
Demonstration Teacher Math,Staff
Demonstration Teacher Science,Staff
Demonstration Teacher Social Studies,Staff
Demonstration Teacher Technology,Staff
Deputy Local Education Agency Administrator Curriculum & Instruction,Administration
Diagnostician,Staff
Dietician,None
Director Advance Technology Center,None
Director Assistant Athletics,None
Director Bond Project,None
Director Collegiate Relations,Staff
Director Communications and Community Relations,Staff
Director Data Systems,None
Director Early Childhood,Staff
Director ECI DEBT,Staff
Director Federal Program,Staff
Director Finance,Staff
Director Fine Arts,Staff
Director Guidance & Counseling,Staff
Director Human Resources,Staff
Director Student Administrative Services,Staff
Director Student Services,Staff
District Hearing Officer,Staff
Early Behavioral Facilitator,Staff
Educational Aide 1A,None
Educational Aide 4 Hour 1F,None
Educational Aide 4A,None
Educational Aide 8 Hour 1F,None
Elementary School Teacher,Specialist
Executive Director Administrative Policy and Procedure,Staff
Executive Director Advanced Academics,Staff
Executive Director Athletics,Staff
Executive Director At-Risk,Staff
Executive Director Facilities,Staff
Executive Director Finance,Staff
Executive Director Finance/Budget,Staff
Executive Director Human Resources,Staff
Executive Director Information Systems,System Administrator
Executive Director Professional Development,Administration
Executive Director Purchasing,Staff
Executive Director Research Development Gifted Ed,Staff
"Executive Director Research, Assessment and Accountability",Administration
Executive Director Risk Management,Staff
Executive Director Special Education,Staff
Executive Director Technology Support,Administration
Facilitator Dyslexia,Staff
Family Connections,Staff
Grant Instructional Administrator,Staff
High School Teacher,Specialist
Instructional Coach,Administration
Instructional Facilitator,Administration
Instructional Officer,Staff
Liaison Certified,None
Librarian,None
Licensed Splst School Psychology,Administration
Licensed Vocational Nurse,None
LISD TV Blackboard Program,None
Long Term Substitute Paraprofessional,None
Long Term Substitute Teacher,None
Manager Assistant LISD TV 4A,None
Manager Assistant Print Shop 4A,None
Manager LISD TV,None
Manager Material Production 4A,None
Manager Print Shop,None
Manager Project,None
Middle School Teacher,Specialist
Network Administrator,None
Nurse,None
Operator Print Shop 4A,None
Police Officer,None
School Administrator Assistant Elementary School,Administration
School Administrator Assistant High School,Administration
School Administrator Assistant Middle School,Administration
School Administrator Elementary School,Administration
School Administrator High School,Administration
School Administrator Interim,Administration
School Administrator Middle School,Administration
Prologic Support Administration,None
Psychologist,Staff
Scheduling,None
Secretary Campus 2A,None
Secretary Campus 3A,None
Secretary Campus 4A,None
"Secretary, Central Office 1A",None
"Secretary, Central Office 2A",None
"Secretary, Central Office 3A",None
"Secretary, Central Office 4A",None
Social Worker,Staff
Specialist,Staff
Specialist Academic Competition,Staff
Specialist Assistive Devices,Staff
Specialist Behavioral,Staff
Specialist Bilingual/ESL/Migrant,Staff
Specialist Communications & Community Relations,Staff
Specialist CTE Public Relations,Staff
Specialist Data,Staff
Specialist DEBT,Staff
Specialist Drug Ed,Staff
Specialist Drug Education,Staff
Specialist Dyslexia,Staff
Specialist General Ledger Accounts,None
Specialist Guidance and Counseling,Staff
Specialist Magnet,Staff
Specialist Network,None
Specialist Network Senior,None
Specialist Parental Involvement,Staff
Specialist PC,None
Specialist PEIMS,Staff
Specialist SSR Behavior,Staff
Specialist Systems,None
Specialist Technology,None
Specialist Testing,Staff
Speech Pathologist,Staff
Speech Pathologist Assistant,Staff
Substitute,None
Summer School Paraprofessional,None
Summer School Teacher,Specialist
Local Education Agency Administrator,Administration
Local Education Agency Administrator Assistant Finance,Staff
Local Education Agency Administrator Assistant Human Resources,Staff
Supervisor Activity Funds,None
Supervisor Budget,None
Supervisor Payroll,None
Supervisor Warehouse,None
Systems analyst,System Administrator
Technology Manager,None
Temporary Employee,None
Temporary Employee Monthly,None
Testing Assistant,None
Textbook Facilitator,None
Therapist Music,Staff
Therapist Occupational,Staff
Therapist Occupational Assistant,Staff
Therapist Physical,None
Therapist Physical Assistant,None
Title I Home/School Liaison,None
Title I Migrant,None
Treasurer,None
User Consultant,None
User Consultant Senior,None
Warehouse 4A,None
Campus Leader,Administration
